question,answer,category,question_id,episode_history,extra_answers,response
What is in between the two picture frames on the blue wall in the living room?,The TV,spatial understanding,c841bb52-1cec-46d7-bb83-8c99b5c66fa8,hm3d-v0/000-hm3d-BFRyYbPCCPE,,There is a television in between the two picture frames on the blue wall in the living room.Ъ
Is there room on the dining table to eat?,Yes,spatial understanding,79344680-6b45-4531-8789-ad0f5ef85b3b,hm3d-v0/000-hm3d-BFRyYbPCCPE,,"Yes, there is room on the dining table to eat.Ъ"
What is to the left of the mirror?,A plant in a tall vase,spatial understanding,b6dcf043-30a6-4b4e-9787-9b29bd1b1703,hm3d-v0/001-hm3d-TPhiubUHKcP,,A door is to the left of the mirror.Ъ
What is to the left of the staircase?,A storage closet,spatial understanding,5460114d-e885-4eae-8bdc-a273deb3df0a,hm3d-v0/001-hm3d-TPhiubUHKcP,,A door is to the left of the staircase.Ъ
What is on the top shelf to the right side of the garage?,An ice cooler,spatial understanding,9b4a7fbb-680d-4e39-8d60-7b1e521f3108,hm3d-v0/002-hm3d-wcojb4TFT35,,There is a bag of garbage on the top shelf to the right side of the garage.Ъ
Does the bedroom have a lot of furniture?,No,spatial understanding,6be2fe87-f20c-48a2-a8fb-161362d86e2a,hm3d-v0/003-hm3d-c5eTyR3Rxyh,,"No, the bedroom has very little furniture, with only a bed and a dresser visible in the image.Ъ"
Is there space under the bed for storage?,Yes,spatial understanding,79dfe5ce-8a8c-47f3-a606-ab5ab4591c56,hm3d-v0/003-hm3d-c5eTyR3Rxyh,,"Yes, there is a space under the bed for storage.Ъ"
What is in the center of the room with the stairs?,A red couch,spatial understanding,884e2405-85f6-446f-a0ab-a03e537e5184,hm3d-v0/004-hm3d-66seV3BWPoX,,"In the center of the room with the stairs, there is a fire hydrant.Ъ"
Does the bedroom have any clutter on the floor?,No,spatial understanding,660372d6-b02b-406e-9383-28e27a4da9ab,hm3d-v0/005-hm3d-yZME6UR9dUN,,"Yes, the bedroom has a cluttered floor.Ъ"
What is directly across the staircase?,A mirror,spatial understanding,611bbc61-de24-4877-8c4e-1f771ac72d01,hm3d-v0/006-hm3d-q3hn1WQ12rz,,"Across the staircase, there is a doorway that leads to another room.Ъ"
What is on the center of the ceiling in the living room?,A smoke detector,spatial understanding,59128ef6-1338-49a8-ab06-191971bb1815,hm3d-v0/006-hm3d-q3hn1WQ12rz,,There is a light on the center of the ceiling in the living room.Ъ
What is on the ceiling in front of the upstairs bedroom?,An air vent,spatial understanding,0748efce-1cd1-4b0f-89c3-1248e49bc8fc,hm3d-v0/007-hm3d-bxsVRursffK,,There is a light on the ceiling in front of the upstairs bedroom.Ъ
What is on the dining table?,Wine glasses,spatial understanding,037d2811-3b0b-4ab8-8c91-19a5cded9eac,hm3d-v0/008-hm3d-SiKqEZx7Ejt,,There is a black and white cat sitting on the dining table.Ъ
What is to the left of the dining table?,A wine cabinet,spatial understanding,b9fa3fcf-34f1-4eb5-a6d1-3fb4465ade39,hm3d-v0/008-hm3d-SiKqEZx7Ejt,,A wall is to the left of the dining table.Ъ
What is above the painting with the red flowers?,An air vent,spatial understanding,8d518bf1-6e9d-4e34-bbdc-bf84ef7e28e3,hm3d-v0/010-hm3d-5cdEh9F2hJL,,"Above the painting with the red flowers, there is a mirror.Ъ"
Is there room for a desk in the bedroom?,No,spatial understanding,decee266-85d8-46d6-940a-d8eb2af15bbe,hm3d-v0/010-hm3d-5cdEh9F2hJL,,"Yes, there is a desk in the bedroom, which is located next to the bed.Ъ"
What is leaning in the corner by the coat rack?,An umbrella,spatial understanding,8857cab2-2407-4e9f-a8fe-f4eb182a2b39,hm3d-v0/011-hm3d-bzCsHPLDztK,,A coat rack is leaning in the corner of the room.Ъ
What is draped on top of the black couch?,A striped blue blanket,spatial understanding,e81b4b48-2a76-455d-9c29-188c9bc38b66,hm3d-v0/011-hm3d-bzCsHPLDztK,,A black couch is draped with a black blanket.Ъ
What is to the right of the light switch in the bathroom?,A hand towel,spatial understanding,e177ec9a-7855-471d-9f81-3b42d5a91911,hm3d-v0/012-hm3d-XB4GS9ShBRE,,A mirror is to the right of the light switch in the bathroom.Ъ
Is there space on the dining table to work on my laptop?,Yes,spatial understanding,16345ba0-9217-4f07-a79d-bbb965bc69a4,hm3d-v0/012-hm3d-XB4GS9ShBRE,,"Yes, there is a laptop on the dining table, which suggests that there is enough space to work on it.Ъ"
Is there space under the kitchen bar area?,No.,spatial understanding,8543767d-7d30-4307-96c2-20ef8ef48160,hm3d-v0/013-hm3d-svBbv1Pavdk,,"Yes, there is a space under the kitchen bar area.Ъ"
What is in between the two white cabinets in the kitchen?,The microwave,spatial understanding,cd5a15ff-d222-4745-8238-eee9afb27b79,hm3d-v0/013-hm3d-svBbv1Pavdk,,There is a potted plant in between the two white cabinets in the kitchen.Ъ
How many basins does the sink have?,Two,spatial understanding,99afbf6e-0b35-4228-8676-dca7c7709a23,hm3d-v0/014-hm3d-rsggHU7g7dh,,The sink in the kitchen has two basins.Ъ
Is there room for more furniture near the kitchen?,Yes,spatial understanding,6a6a7283-bccc-4923-a843-e0225ad21e3c,hm3d-v0/014-hm3d-rsggHU7g7dh,,"Yes, there is a chair in the room, which suggests that there is enough space for additional furniture.Ъ"
What is hung along the walls of the staircase?,Photos of people,spatial understanding,2105be27-3075-4024-aa9d-bbe2c8d171e5,hm3d-v0/015-hm3d-5jp3fCRSRjc,,There are pictures hung along the walls of the staircase.Ъ
What is at the center of the dining table?,A vase with flowers,spatial understanding,f9dd1702-e468-47c7-8e39-c562b1515c26,hm3d-v0/015-hm3d-5jp3fCRSRjc,,There is a picture of a woman at the center of the dining table.Ъ
What is in between the two couches?,A coffee table,spatial understanding,8bb765de-228d-47c2-89e3-e57dbd07261c,hm3d-v0/016-hm3d-nrA1tAA17Yp,,There is a table in between the two couches.Ъ
What is above the piano?,A painting,spatial understanding,e2a55cb0-a883-4dd6-9b2f-239d92ebd8bc,hm3d-v0/016-hm3d-nrA1tAA17Yp,,"Above the piano, there is a painting of a man's face.Ъ"
What is to the left of the frontdoor?,A storage closet,spatial understanding,f5a17a09-ce4b-4123-bf40-d2239cf38cb8,hm3d-v0/017-hm3d-Dd4bFSTQ8gi,,A refrigerator is to the left of the front door.Ъ
What is hanging from the oven handle?,A towel,spatial understanding,00c2be2a-1377-4fae-a889-30936b7890c3,hm3d-v0/017-hm3d-Dd4bFSTQ8gi,,A towel is hanging from the oven handle.Ъ
What is in between the two bedroom doorways?,A light switch,spatial understanding,92fc2743-e2d7-4504-bb94-4b95c4f9596d,hm3d-v0/018-hm3d-dHwjuKfkRUR,,There is a staircase in between the two bedroom doorways.Ъ
What can be seen outside the bedroom window?,A pond,spatial understanding,7e363878-ad19-4493-8a6f-0350bff27557,hm3d-v0/018-hm3d-dHwjuKfkRUR,,"Outside the bedroom window, there is a tree visible.Ъ"
What is across the dishwasher?,A fridge,spatial understanding,b60453d8-d274-4159-b368-96e8ad66575f,hm3d-v0/019-hm3d-y9hTuugGdiq,,A chair is sitting across the dishwasher.Ъ
What appliance is below the hanging cabinets on the left side of the kitchen?,A toaster oven,spatial understanding,4af07938-5cb6-4784-922d-893dc57ca225,hm3d-v0/019-hm3d-y9hTuugGdiq,,A refrigerator is located below the hanging cabinets on the left side of the kitchen.Ъ
What is underneath the television?,A fireplace,spatial understanding,f682883e-b749-4c06-8859-c001c533d3b4,hm3d-v0/021-hm3d-LT9Jq6dN3Ea,,"Underneath the television, there is a fireplace.Ъ"
Would you place a drink on your right or left side while watching tv from the lefthand chair in the living room?,The right,spatial understanding,73bcd8d2-cd39-46e1-a63a-54acfae8d060,hm3d-v0/021-hm3d-LT9Jq6dN3Ea,,"From the lefthand chair in the living room, you would place a drink on your right side.Ъ"
Where do I reach for laundry detergent?,For the shelf above the washing machine.,spatial understanding,ba5f1c9b-9a41-4a84-829b-f9b8ccd19b69,hm3d-v0/029-hm3d-mv2HUxq3B53,,"In the image, there is a laundry basket located near the bed.Ъ"
what is between the fruit bowl and knife set?,a container of spices,spatial understanding,a5c5bb29-700a-4ef5-b17d-aaa47bb0ef3f,hm3d-v0/031-hm3d-Nfvxx8J5NCo,,There is a wall between the fruit bowl and knife set.Ъ
is the table in the living room completely clean?,no,spatial understanding,b05e7b30-6a4d-4381-9d05-a42ed0c90e30,hm3d-v0/031-hm3d-Nfvxx8J5NCo,,"Yes, the table in the living room is clean.Ъ"
is the chair in the above floor pushed in or placed out?,pushed in,spatial understanding,302c39c4-027f-416a-948f-018412123a98,hm3d-v0/032-hm3d-6s7QHgap2fW,,The chair in the above floor is pushed in.Ъ
is the table in the living room clean?,yes,spatial understanding,3af8c1fb-bcde-4a18-83d1-c811785a3d48,hm3d-v0/035-hm3d-BAbdmeyTvMZ,,"No, the table in the living room is dirty.Ъ"
is the brown dresser in the bedroom empty?,no,spatial understanding,f7b686fc-aa6c-4c41-b4b7-a355f558c640,hm3d-v0/036-hm3d-rJhMRvNn4DS,,"Yes, the brown dresser in the bedroom is empty.Ъ"
where precisely are the markers in the study room?,on the whiteboard bottom-right corner,spatial understanding,de97a986-30c3-4e0b-92dc-77ba1900cf8d,hm3d-v0/038-hm3d-b28CWbpQvor,,The markers are located on the wall of the study room.Ъ
what is above the markers on the whiteboard?,eraser,spatial understanding,471c0bc9-f594-42d9-90c7-075c14b2ede8,hm3d-v0/038-hm3d-b28CWbpQvor,,There is a chalkboard above the markers on the whiteboard.Ъ
Could I have a conversation with someone cooking dinner in the kitchen while I sit in the dining room?,Yes,spatial understanding,35c42d77-9cdd-4072-b423-768350e0dbf2,hm3d-v0/041-hm3d-GLAQ4DNUx5U,,"Yes, you could have a conversation with someone cooking dinner in the kitchen while you sit in the dining room.Ъ"
What is on top of the washing machine?,The dryer,spatial understanding,b70465b8-53a3-436f-b12f-2d8cdf8f1856,hm3d-v0/041-hm3d-GLAQ4DNUx5U,,There is a potted plant on top of the washing machine.Ъ
What is written on the wall above the sink between the two cupboards?,"We may not have it all together, but together we have it all.",spatial understanding,2e655103-1aea-46d2-911a-cb67cc13563d,hm3d-v0/042-hm3d-hkr2MGpHD6B,,"The wall above the sink between the two cupboards has the word ""dry"" written on it.Ъ"
"If I sit at the dining room table, will the back two legs of my chair be touch wood or carpet?",Wood,spatial understanding,e4f7ffc5-29ba-4c84-ae61-bb6c0625165e,hm3d-v0/042-hm3d-hkr2MGpHD6B,,"If you sit at the dining room table, the back two legs of your chair will be touching wood.Ъ"
what floor is the laundry room on,the 2nd floor,spatial understanding,20d8e2de-15af-48f0-89d7-39669e075d81,hm3d-v0/046-hm3d-X4qjx5vquwH,,The laundry room is on the second floor.Ъ
what is above the right bed,a window,spatial understanding,62627a1e-e41b-480d-9608-48a154b260bc,hm3d-v0/048-hm3d-kJJyRFXVpx2,,There is a light fixture above the bed on the right side of the room.Ъ
is there an area between the beds to place a glass of water,yes,spatial understanding,af709fd8-dca2-4697-9548-07aa9d157d8e,hm3d-v0/049-hm3d-SUHsP6z2gcJ,,"Yes, there is a small area between the two beds that can be used to place a glass of water.Ъ"
is there room to work from the table in the office,yes,spatial understanding,b7ec05d6-2f72-48b0-97f8-3708553719f0,hm3d-v0/050-hm3d-cvZr5TUy5C5,,"Yes, there is a table in the office area, which provides a workspace for the person working in the room.Ъ"
Could I put something on the chair by the front door?,Yes,spatial understanding,ff98f8af-e2a6-41e8-94e7-bdeb7badc3b9,hm3d-v0/068-hm3d-p53SfW6mjZe,,"Yes, you could put something on the chair by the front door.Ъ"
Can another cookie jar fit on the cookie jar shelf?,yes,spatial understanding,d5f844fc-81cd-465e-aa90-e8ff8658c861,hm3d-v0/069-hm3d-HMkoS756sz6,,"Yes, another cookie jar can fit on the cookie jar shelf.Ъ"
Can two adults fit on the bed?,no,spatial understanding,6f6b797e-3418-42b8-9e59-c8f6581a8d7f,hm3d-v0/069-hm3d-HMkoS756sz6,,"Yes, two adults can fit on the bed.Ъ"
What is between the kitchen and the stairway up?,A stairway down to the outside,spatial understanding,c66b8aa9-623f-46ab-9543-01b06aa606a1,hm3d-v0/073-hm3d-LEFTm3JecaC,,There is a window between the kitchen and the stairway up.Ъ
What is between the kitchen and the open closet?,An empty room,spatial understanding,a8cc7ee8-36ea-4726-bb0e-2642ffc2c2d0,hm3d-v0/073-hm3d-LEFTm3JecaC,,There is a window between the kitchen and the open closet.Ъ
What is the object between the Stationary Bike and the Table with the Lamp?,An armchair,spatial understanding,36db3d39-a9e9-420d-8660-789ba4adb3cb,hm3d-v0/083-hm3d-LNg5mXe1BDj,,There is a lamp between the stationary bike and the table.Ъ
"If you were to go down the stairs, then straight into the tv room, turn left in the door and go straight until you enter the last room, which room would it be?",The restroom,spatial understanding,6faa9052-c5ae-44b9-a024-ab14474d0c29,hm3d-v0/083-hm3d-LNg5mXe1BDj,,The last room would be the living room.Ъ
"Go to the living room, step close in front of the TV, turn to the left and enter the room, which room is it?",The studio,spatial understanding,9a6a84f5-2871-4703-8f00-85c1c31492ed,hm3d-v0/084-hm3d-zt1RVoi7PcG,,The living room
"There's something on the wall between the pet cage and the chimney, what is it?",A window,spatial understanding,91e9e006-5372-48fa-9620-18f80b809f74,hm3d-v0/084-hm3d-zt1RVoi7PcG,,There is a white sign on the wall between the pet cage and the chimney.Ъ
"When coming down the stairs, you exit near a couch. What's across from the stairs?",The bathroom,spatial understanding,aa639733-fd12-43f4-b186-d72316568450,hm3d-v0/086-hm3d-cYkrGrCg2kB,,"Across from the stairs, there is a couch."
Can you fit a large pizza on the table next to the downstairs couch?,Yes,spatial understanding,8bd85fd6-575a-40a5-becf-f5ca6bf90dcd,hm3d-v0/092-hm3d-eF36g7L6Z9M,,"Yes, the table next to the downstairs couch is large enough to fit a large pizza.Ъ"
Is there space for another beanbag chair against the far wall downstairs?,Yes,spatial understanding,4cae28e3-0192-4460-8f15-293b8e9fa9d3,hm3d-v0/094-hm3d-Qpor2mEya8F,,"Yes, there is space for another beanbag chair against the far wall downstairs.Ъ"
Is there space for another pillow on the back of the bench with the coat hangers?,No,spatial understanding,1fcfa31c-43d6-4c9a-acb6-21f019956e1c,hm3d-v0/094-hm3d-Qpor2mEya8F,,"Yes, there is space for another pillow on the back of the bench with the coat hangers.Ъ"
"Where is the ""Be Thankful"" poster?",Above the stairs,spatial understanding,740df01e-35fd-42ec-9a39-b04f53f2ff3c,hm3d-v0/096-hm3d-uLz9jNga3kC,,"The ""Be Thankful"" poster is hanging on the wall in the kitchen.Ъ"
"Where is ""Bless this home"" written?",Above the dinner room entrance,spatial understanding,ba427cc2-18ee-4082-8182-6d96c3db6396,hm3d-v0/096-hm3d-uLz9jNga3kC,,"""Bless this home"" is written on the wall in the kitchen.Ъ"
What is on the opposite wall of the bed?,TV,spatial understanding,8b193fd8-ac3f-40bf-add7-3b7dabacc87c,hm3d-v0/099-hm3d-q5QZSEeHe5g,,There is a mirror on the opposite wall of the bed.Ъ
What's below the window of the front door?,mailslot ,spatial understanding,5148a354-85bd-439b-bda8-6e15991553db,hm3d-v0/099-hm3d-q5QZSEeHe5g,,"Below the window of the front door, there is a bench.Ъ"
